label,text
product, از کجا می‌توانم برای کالا تهیه کنم؟
product, قیمت این کالا برای هتل چقدر است؟
product, آیا امکان خرید عمده کالا  وجود دارد؟
product, موجودی فعلی این کالا  چقدر است؟
product, آیا می‌توانم سفارش کالا را لغو کنم؟
product, وضعیت سفارش کالای را چطور پیگیری کنم؟
product, برای این کالا تخفیف هتلی دارید؟
product, کیفیت این کالا برای استفاده در هتل چگونه است؟
product, آیا این کالا برای استفاده در اتاق‌های هتل مناسب است؟
product, آیا امکان خرید فوری کالا  هست؟
product, چه کالای جایگزینی برای این کالا پیشنهاد می‌دهید؟
product, چگونه مطمئن شوم کالا اصل است؟
product, این کالا گارانتی دارد؟
product, شرایط بازگشت کالا چیست؟
product, آیا امکان تست کالا قبل از خرید وجود دارد؟
product, هزینه حمل این کالا چقدر است؟
product, چه تعداد از این کالا می‌توانم یکجا سفارش دهم؟
product, آیا این کالا برای رستوران  مناسب است؟
product, آیا کالا برای لاندری هتل قابل استفاده است؟
product, چطور می‌توانم کاتالوگ کالاهای هتلی را ببینم؟
product, آیا کالا ضدآب و ضد رطوبت است؟
product, آیا قیمت این کالا برای هتل‌ها متفاوت است؟
product, چه برندهایی از این کالا دارید؟
product, آیا این کالا برای هتل‌های ۵ ستاره مناسب است؟
product, زمان تحویل کالا  چقدر است؟
product, موجودی انبار شما از این کالا کافی است؟
product, آیا امکان بازدید حضوری برای بررسی کالا هست؟
product, آیا این کالا در رنگ‌های مختلف موجود است؟
product, آیا کالای مصرفی برای اتاق‌ها دارید؟
product, این کالا برای سالن کنفرانس  مناسب است؟
product, محصول مناسب نظافت اتاق‌ها چیست؟
product, برای SPA هتل چه کالاهایی پیشنهاد می‌کنید؟
product, آیا محصولات یک‌بارمصرف هتلی دارید؟
product, چطور کالا را با لوگوی هتل سفارشی‌سازی کنیم؟
product," برای خرید تعداد زیاد، قیمت کمتر می‌شود؟"
product, آیا این کالا برای استفاده طولانی مناسب است؟
product, چه مدل‌های اقتصادی‌تر از این کالا دارید؟
product, برای این کالا بسته‌بندی اختصاصی دارید؟
product, آیا کالا از مواد ضد حساسیت ساخته شده؟
product, آیا تحویل سریع برای این کالا دارید؟
product, این کالا برای میهمانان خارجی مناسب است؟
product, آیا کالای سازگار با محیط‌زیست دارید؟
product, چطور بهترین کالا را برای هتل انتخاب کنم؟
product, آیا کالا دارای استاندارد بین‌المللی است؟
product, این کالا در انبار هتل ثبت شده است؟
product, موجودی انبار هتل برای این کالا چقدر است؟
product, چه تعداد کالا از انبار خارج شده؟
product, آیا این کالا به بخش خانه‌داری ارسال شده؟
product, چه کالایی امروز وارد انبار شده؟
product, کالای آسیب‌دیده چطور ثبت می‌شود؟
product, چه کالایی نیاز به سفارش مجدد دارد؟
product, کالای برگشتی از اتاق‌ها ثبت شده؟
product, چطور کالای مرجوعی را پردازش کنیم؟
product, زمان رسیدن بار به هتل چه زمانی است؟
product, بار امشب به هتل می‌رسد؟
product, پیک کالا چه زمانی می‌رسد؟
product, چه کسی تحویل بار را ثبت کرده؟
product, بسته‌بندی کالا برای انبار مناسب است؟
product, کالای شکستنی چگونه باید حمل شود؟
product, آیا کالا رسید انبار دارد؟
product, چطور حواله خروج کالا صادر کنم؟
product, انتقال کالا بین انبارهای هتل چگونه انجام می‌شود؟
product, کالا در مسیر حمل آسیب دیده؟
product, گزارش کمبود کالا ارسال شده؟
product, آیا کالا نیاز به شرایط دمایی خاص دارد؟
product, کالا در سردخانه موجود است؟
product, آیا امکان انبارگردانی امروز وجود دارد؟
product, زمان دقیق تحویل کالا چه ساعتی است؟
product, آیا کالا هنوز در انبار مرکزی است؟
product, این کالا در مسیر ارسال گم نشده؟
product, وضعیت بسته‌بندی کالا استاندارد است؟
product, آیا کالا بیمه حمل دارد؟
product, حمل کالا با وانت انجام می‌شود؟
product, کالا در چه مرحله‌ای از ارسال است؟
product, آیا لازم است پک جدید برای کالا تهیه کنیم؟
product, آیا کالا دیرتر از موعد رسیده؟
product, هزینه انبارداری برای این کالا چقدر است؟
product, بارگیری کالا چه زمانی انجام می‌شود؟
product, کالای آسیب‌دیده قابل تعویض است؟
product, وزن محموله چقدر است؟
product, برای این کالا لیبل جدید لازم است؟
product, کالا به بخش رستوران هتل ارسال شده؟
product, چطور مشکل تأخیر در تحویل را حل کنیم؟
product, کالا با چه نوع وسیله نقلیه حمل می‌شود؟
product, آیا ارسال کالا به شعبه دیگر ممکن است؟
product, چند بسته از این کالا تحویل گرفته شده؟
product, وضعیت کالا در بخش کنترل کیفیت چیست؟
product, آیا این کالا برای انبار بلندمدت مناسب است؟
product, بسته‌بندی کالای فاسدشدنی مناسب است؟
product, امکان ردیابی زنده محموله وجود دارد؟
product, کالای گمشده پیدا شده یا هنوز نامشخص است؟
product, چه مقدار لوازم مصرفی اتاق باقی مانده؟
product, آب معدنی برای اتاق‌ها موجود است؟
product, آیا حوله‌های تمیز در انبار موجود است؟
product, آیا دمپایی هتلی تمام شده؟
product, آیا سرویس بهداشتی‌ها کمبود دارند؟
product, آیا شکر تک‌نفره موجود دارید؟
product, آیا کالاهای اتاق‌های کنفرانس آماده‌اند؟
product, آیا ملحفه‌های جدید موجود هستند؟
product, آیا میزبانان VIP کالاهای ویژه نیاز دارند؟
product, آیا وسایل نظافت شارژ شده‌اند؟
product, بالش‌های اضافی کافی داریم؟
product, بخش SPA به چه کالاهایی نیاز دارد؟
product, برای حمام چه کالاهایی سفارش دهیم؟
product, برای خانه‌داری چه کالایی باید تهیه شود؟
product, برای مینی‌بار چه کالاهایی لازم است؟
product, بسته خوشامدگویی آماده است؟
product, بسته لوازم بهداشتی ویژه بانوان دارید؟
product, بسته لوازم بهداشتی ویژه کودکان دارید؟
product, بسته‌های پذیرایی اتاق آماده شده‌اند؟
product, پتوهای اضافه در انبار هستند؟
product, پک مسافرتی برای میهمانان دارید؟
product, تنقلات مینی‌بار کافی است؟
product, چای کیسه‌ای نیاز به سفارش دارد؟
product, چه تعداد بطری آب برای طبقه پنجم لازم است؟
product, حوله استخر موجود است؟
product, دستگاه‌های اتاق نیاز به فیلتر دارند؟
product, دستمال کاغذی برای اتاق‌ها کافی است؟
product, دمپایی‌های یک‌بارمصرف کم شده؟
product, رستوران نیاز به دستکش یک‌بارمصرف دارد؟
product, رستوران هتل کمبود مواد اولیه دارد؟
product, سرویس بهداشتی نیاز به شارژ دارد؟
product, شارژرهای هتلی برای پذیرش موجود است؟
product, شامپو و صابون چه زمانی تأمین می‌شود؟
product, عطر محیطی لابی موجود است؟
product, قهوه و چای چه زمانی شارژ می‌شود؟
product, کالاهای صبحانه چقدر موجود است؟
product, کالاهای مخصوص حیوانات خانگی دارید؟
product, کالاهای مصرفی سالن ورزشی موجود است؟
product, کالای سبز و دوستدار محیط زیست دارید؟
product, کالای مخصوص سوئیت‌ها در انبار هست؟
product, کیسه رخت چرک در انبار هست؟
product, لوازم سرویس غذا کافی است؟
product, لیوان‌های یک‌بارمصرف موجودند؟
product, مسواک و خمیردندان هتلی موجود است؟
product, ملحفه‌های VIP آماده هستند؟
product, مواد شوینده برای لاندری موجود است؟
product, نوشابه‌ها و آبمیوه‌ها کم نشده‌اند؟
product, نوشیدنی‌های بار کافی است؟
product, هدایا و سوغاتی‌های هتلی موجود هستند؟
product, آیا بسته‌های بهداشتی اتاق تکمیل شده‌اند؟
product, آیا امکان ارسال شبانه هست؟
product, آیا امکان ارسال فوری کالا وجود دارد؟
product, آیا امکان بازگشت وجه کالا هست؟
product, آیا امکان پرداخت قسطی هست؟
product, آیا امکان ثبت شکایت وجود دارد؟
product, آیا امکان خرید با قرارداد سالانه وجود دارد؟
product, آیا امکان ذخیره‌سازی بلندمدت این کالا هست؟
product, آیا این کالا با اتاق‌های نوساز سازگار است؟
product, آیا این کالا قابل تعمیر است؟
product, آیا برای هتل‌های زنجیره‌ای تخفیف دارید؟
product, آیا کالا از برند معتبر تأمین می‌شود؟
product, آیا کالا مطابق استاندارد بهداشت هتل است؟
product, آیا کالای خاص برای جشنواره دارید؟
product, برای این کالا تاریخ انقضا مهم است؟
product, برای بازدیدکنندگان خارجی چه کالاهایی لازم است؟
product, بسته اقتصادی برای اتاق‌های ارزان دارید؟
product, بسته خوشامدگویی مدیران آماده است؟
product," بسته‌بندی کالا باز شده بود، چه کنم؟"
product, پرونده مرجوعی بسته شده یا باز است؟
product, تاریخ تولید کالا چقدر اهمیت دارد؟
product, چطور کیفیت این کالا را ارزیابی کنیم؟
product, چه زمانی کالا دوباره موجود می‌شود؟
product, چه کالایی بیشترین مصرف را در هتل دارد؟
product, چه کسی مسئول تأخیر کالا است؟
product, حمل‌ونقل این کالا امن است؟
product, زمان تسویه کالای تحویلی کی است؟
product, سفارش بزرگ هتل چه زمانی آماده می‌شود؟
product, سفارش قبلی با تأخیر رسید؟
product, طرح چاپ لوگوی هتل روی کالا امکان‌پذیر است؟
product, فاکتور خرید کالا را چطور دریافت کنم؟
product, کالا با چه مدل پرداختی ارزان‌تر می‌شود؟
product, کالا برای بخش VIP دیر تحویل شده؟
product, کالا برای کارمندان هتل چیست؟
product, کالا در صف تأمین قرار دارد؟
product, کالا در لیست خرید ماهانه ثبت شده؟
product, کالای خراب شده چطور ثبت می‌شود؟
product," کالای دریافتی آسیب‌دیده، امکان تعویض هست؟"
product," کالای دریافتی با سفارش هماهنگ نبود، چه کنم؟"
product, کالای سفارش داده‌شده اشتباه ارسال شده؟
product, کالای سفارشی‌سازی‌شده چه زمانی تحویل می‌شود؟
product, کالای قدیمی باید دور ریخته شود؟
product, کالای گران‌قیمت نیاز به بیمه دارد؟
product, کالای مخصوص مراسم عروسی دارید؟
product, گزارش کامل کالا را می‌توانم دریافت کنم؟
product, گزارش موجودی کالا آماده شده؟
product, موجودی این کالا برای مراسم کافی است؟
product, هدیه ویژه برای مهمانان VIP چیست؟
product, هزینه تعمیر کالای خراب چقدر است؟
product, هزینه کل خرید کالا چقدر شده؟
product, وضعیت پرداخت کالای قبلی مشخص شده؟
supplier , تأمین‌کننده این کالا چه کسی است؟
supplier , چه تفاوتی بین تأمین‌کننده داخلی و خارجی وجود دارد؟
supplier , آیا تأمین‌کننده به‌موقع پاسخ می‌دهد؟
supplier , شرایط قرارداد با تأمین‌کننده چیست؟
supplier , آیا تأمین‌کننده قرارداد رسمی ارائه می‌دهد؟
supplier , چه بندهای حقوقی باید در قرارداد تأمین‌کننده باشد؟
supplier , دوره قرارداد تأمین‌کننده چقدر است؟
supplier , آیا می‌توان قرارداد را فسخ کرد؟
supplier , آیا تأمین‌کننده تعهد تأمین مستمر می‌دهد؟
supplier , آیا تأمین‌کننده بیمه مسئولیت دارد؟
supplier , آیا تأمین‌کننده تعهد زمان تحویل دارد؟
supplier , جریمه تأخیر تأمین‌کننده چیست؟
supplier , کدام تأمین‌کننده سریع‌ترین زمان تحویل را دارد؟
supplier , آیا تأمین‌کننده قرارداد محرمانگی امضا می‌کند؟
supplier , آیا امکان مذاکره درباره شروط قرارداد هست؟
supplier , آیا قرارداد تأمین‌کننده قابل تمدید است؟
supplier , آیا تأمین‌کننده گارانتی بازگشت پول دارد؟
supplier , آیا تأمین‌کننده در قرارداد کیفیت را تضمین می‌کند؟
supplier , شرایط حل اختلاف با تأمین‌کننده چیست؟
supplier , آیا قرارداد دیجیتال قابل قبول است؟
supplier , آیا تأمین‌کننده نیاز به وثیقه دارد؟
supplier , آیا قرارداد تأمین‌کننده شامل خدمات پس از فروش است؟
supplier , مسئولیت خرابی کالا بر عهده کیست؟
supplier , چه نوع کالاهایی را تأمین‌کننده شما ارائه می‌دهد؟
supplier , آیا تأمین‌کننده مجوز قانونی دارد؟
supplier , آیا تأمین‌کننده مالیات پرداخت می‌کند؟
supplier , آیا تأمین‌کننده قوانین صادرات رعایت می‌کند؟
supplier , آیا تأمین‌کننده استانداردهای بین‌المللی رعایت می‌کند؟
supplier , نحوه ثبت شکایت رسمی چگونه است؟
supplier , آیا تأمین‌کننده اسناد حمل ارائه می‌دهد؟
supplier , آیا تأمین‌کننده SLA دارد؟
supplier , آیا تأمین‌کننده KPI دارد؟
supplier , آیا تأمین‌کننده تعهد تحویل فوری می‌دهد؟
supplier , آیا تأمین‌کننده خدمات انبارداری هم دارد؟
supplier , چطور می‌توانم با تأمین‌کننده ارتباط مستقیم بگیرم؟
supplier , آیا تأمین‌کننده بیمه مسئولیت کالا دارد؟
supplier , چگونه با تأمین‌کننده تماس بگیرم؟
supplier , ساعات پاسخگویی تأمین‌کننده چیست؟
supplier , آیا تأمین‌کننده پشتیبانی ۲۴ساعته دارد؟
supplier , آیا می‌توانم با کارشناس تأمین‌کننده صحبت کنم؟
supplier , آیا تأمین‌کننده پشتیبانی آنلاین دارد؟
supplier , چطور وضعیت سفارش را از تأمین‌کننده بپرسم؟
supplier , آیا تأمین‌کننده واتساپ یا تلگرام دارد؟
supplier , آیا تأمین‌کننده ایمیل فعال دارد؟
supplier , آیا تأمین‌کننده شماره مستقیم دارد؟
supplier , آیا تأمین‌کننده این کالا را به‌صورت عمده می‌فروشد؟
supplier , آیا تأمین‌کننده نماینده فروش دارد؟
supplier , آیا تأمین‌کننده جلسه حضوری می‌گذارد؟
supplier , آیا می‌توانم از تأمین‌کننده بازدید کنم؟
supplier , آیا تأمین‌کننده خدمات مشاوره می‌دهد؟
supplier , آیا تأمین‌کننده بروشور یا کاتالوگ دارد؟
supplier , آیا تأمین‌کننده آموزش استفاده از کالا می‌دهد؟
supplier , آیا تأمین‌کننده برنامه وفاداری دارد؟
supplier , آیا تأبین‌کننده امکان ارسال گزارش عملکرد ماهانه دارد؟
supplier , آیا تأمین‌کننده پاسخگویی سریع دارد؟
supplier , آیا تأمین‌کننده تیم تخصصی پشتیبانی دارد؟
supplier , آیا می‌توان تأمین‌کننده را تغییر داد؟
supplier , آیا تأمین‌کننده امکان ملاقات آنلاین دارد؟
supplier , چطور تأمین‌کننده فعلی را تغییر دهم؟
supplier , چه زمانی باید تأمین‌کننده را عوض کرد؟
supplier , چطور عملکرد تأمین‌کننده را ارزیابی کنم؟
supplier , ریسک همکاری با این تأمین‌کننده چیست؟
supplier , آیا تأمین‌کننده پایداری در تأمین دارد؟
supplier ," اگر تأمین‌کننده ورشکست شود، چه می‌شود؟"
supplier , آیا تأمین‌کننده ظرفیت تولید کافی دارد؟
supplier , آیا تأمین‌کننده سیستم مدیریت انبار دارد؟
supplier , آیا تأمین‌کننده برنامه تولید دارد؟
supplier , آیا این محصول چند تأمین‌کننده دارد؟
supplier , آیا تأمین‌کننده می‌تواند سفارش‌های ناگهانی انجام دهد؟
supplier , آیا تأمین‌کننده امکان شخصی‌سازی محصولات دارد؟
supplier , آیا تأمین‌کننده فناوری RFID دارد؟
supplier , آیا تأمین‌کننده از سیستم ERP استفاده می‌کند؟
supplier , آیا تأمین‌کننده سازگاری با محیط‌زیست دارد؟
supplier , آیا تأمین‌کننده گزارش پسماند ارائه می‌دهد؟
supplier , آیا تأمین‌کننده انرژی سبز مصرف می‌کند؟
supplier , آیا تأمین‌کننده صادرات محصولات انجام می‌دهد؟
supplier , آیا تأمین‌کننده امکان تأمین چندمحصولی دارد؟
supplier , آیا تأمین‌کننده بسته‌بندی اختصاصی می‌دهد؟
supplier , اطلاعات تماس تأمین‌کننده چیست؟
supplier ," اگر تأمین‌کننده کالا اشتباه بفرستد، چه کنیم؟"
supplier , آیا می‌توانم چند تأمین‌کننده هم‌زمان داشته باشم؟
supplier , آیا تأمین‌کننده امکان افزایش ناگهانی تولید دارد؟
supplier , آیا تأمین‌کننده سابقه قطع ارسال دارد؟
supplier , آیا تأمین‌کننده خدمات پس از فروش دارد؟
supplier , آیا تأمین‌کننده اقلام کم‌یاب تأمین می‌کند؟
supplier , آیا تأمین‌کننده تأمین اضطراری انجام می‌دهد؟
supplier , آیا تأمین‌کننده امکان نگهداری کالا به‌جای ما دارد؟
supplier , آیا تأمین‌کننده سیستم ردیابی محموله دارد؟
supplier , آیا تأمین‌کننده شرایط بازگشت کالا دارد؟
supplier , تأمین‌کننده این کالا چه ضمانتی می‌دهد؟
supplier , آیا تأمین‌کننده رفتار حرفه‌ای دارد؟
supplier , آیا تأمین‌کننده وضعیت موجودی لحظه‌ای می‌دهد؟
supplier , آیا تأمین‌کننده نرم‌افزار سفارش‌دهی دارد؟
supplier , آیا تأمین‌کننده اپلیکیشن دارد؟
supplier , آیا تأمین‌کننده سیستم اتوماسیون دارد؟
supplier , آیا تأمین‌کننده اعتمادی است؟
supplier , آیا تأمین‌کننده قرارداد انحصاری دارد؟
supplier , آیا تأمین‌کننده مواد اولیه خاص ارائه می‌دهد؟
supplier , آیا تأمین‌کننده امکان تست کیفیت دارد؟
supplier , آیا تأمین‌کننده خدمات همسان‌سازی قیمت دارد؟
supplier , آیا تأمین‌کننده شما مجوز رسمی دارد؟
supplier , آیا تأمین‌کننده هشدار کمبود موجودی می‌دهد؟
supplier , آیا تأمین‌کننده گزارش ماهانه فروش می‌دهد؟
supplier , آیا تأمین‌کننده هزینه اضافه برای سفارش شبانه می‌گیرد؟
supplier , آیا تأمین‌کننده کالا را در حجم‌های مختلف عرضه می‌کند؟
supplier , آیا تأمین‌کننده تیم لجستیک داخلی دارد؟
supplier , آیا تأمین‌کننده امکان تحویل در طبقات هتل دارد؟
supplier , آیا تأمین‌کننده قرارداد پشتیبانی دائمی دارد؟
supplier , آیا تأمین‌کننده سرویس تعمیر کالا دارد؟
supplier , آیا تأمین‌کننده می‌تواند کالا را بسته‌بندی برند ما بزند؟
supplier , آیا تأمین‌کننده سیستم هشدار تأخیر دارد؟
supplier , چطور می‌توانم یک تأمین‌کننده مطمئن پیدا کنم؟
supplier , چگونه می‌توانم یک تأمین‌کننده جدید ثبت کنم؟
supplier , چطور می‌توانم بهترین تأمین‌کننده را انتخاب کنم؟
supplier , قیمت تأمین‌کننده برای این کالا چقدر است؟
supplier , آیا تأمین‌کننده تخفیف می‌دهد؟
supplier , چطور می‌توانم از تأمین‌کننده قیمت به‌روز بگیرم؟
supplier , تفاوت قیمت بین تأمین‌کنندگان مختلف چیست؟
supplier , آیا امکان مذاکره با تأمین‌کننده برای قیمت وجود دارد؟
supplier , شرایط پرداخت به تأمین‌کننده چگونه است؟
supplier , آیا تأمین‌کننده پرداخت قسطی قبول می‌کند؟
supplier , آیا تأمین‌کننده برای خرید عمده قیمت پایین‌تر می‌دهد؟
supplier , آیا فاکتور رسمی از تأمین‌کننده دریافت می‌کنم؟
supplier , بهترین تأمین‌کننده برای این محصول کدام است؟
supplier , هزینه حمل‌ونقل به عهده تأمین‌کننده است؟
supplier , قیمت‌گذاری تأمین‌کننده بر چه اساسی است؟
supplier , آیا مالیات بر ارزش افزوده توسط تأمین‌کننده اعمال می‌شود؟
supplier , آیا می‌توان از چند تأمین‌کننده استعلام قیمت گرفت؟
supplier , چطور قیمت چند تأمین‌کننده را مقایسه کنم؟
supplier , آیا تأمین‌کننده هزینه بسته‌بندی جداگانه می‌گیرد؟
supplier , آیا تأمین‌کننده برای هتل‌ها قیمت ویژه دارد؟
supplier , آیا تأمین‌کننده حداقل مبلغ خرید تعیین کرده؟
supplier , آیا تأمین‌کننده هزینه انبارداری دریافت می‌کند؟
supplier , آیا تأمین‌کننده خط اعتباری ارائه می‌دهد؟
supplier , آیا می‌توانید لیست تأمین‌کنندگان معتبر این حوزه را بدهید؟
supplier ," آیا برای خرید زیاد، تأمین‌کننده قرارداد بلندمدت می‌بندد؟"
supplier , کیفیت کالاهای تأمین‌کننده چطور ارزیابی می‌شود؟
supplier , آیا تأمین‌کننده استانداردهای بهداشتی دارد؟
supplier , آیا تأمین‌کننده گارانتی کیفیت ارائه می‌دهد؟
supplier , چطور می‌توان کیفیت تأمین‌کننده را مقایسه کرد؟
supplier , آیا تأمین‌کننده امکان ارائه نمونه دارد؟
supplier , آیا تأمین‌کننده کالاهای تقلبی ارائه می‌دهد؟
supplier , استاندارد بسته‌بندی تأمین‌کننده چیست؟
supplier , آیا تأمین‌کننده گواهی‌نامه ISO دارد؟
supplier , آیا کیفیت کالاها توسط تیم شما تأیید شده؟
supplier , چه معیارهایی برای انتخاب تأمین‌کننده مناسب وجود دارد؟
supplier , آیا تأمین‌کننده سابقه مشکل در کیفیت داشته؟
supplier , چطور می‌توان گزارش کیفیت تأمین‌کننده را دید؟
supplier , آیا تأمین‌کننده کالای فاسدشدنی را استاندارد حفظ می‌کند؟
supplier , شرایط نگهداری کالا در انبار تأمین‌کننده چگونه است؟
supplier , آیا تأمین‌کننده کالای مشابه ارائه می‌دهد؟
